event_id,package_id,timestamp,stage,scanner_id,employee_id,processing_seconds,error_flag
1,P10001,2025-11-01 06:00:16,inbound,S04,E006,3,0
2,P10002,2025-11-01 06:01:10,scan,S07,E007,6,0
3,P10003,2025-11-01 06:01:27,inbound,S03,E015,13,0
4,P10004,2025-11-01 06:00:27,inbound,S06,E017,9,0
5,P10005,2025-11-01 06:00:35,sort,S04,E018,14,0
6,P10006,2025-11-01 06:04:31,inbound,S10,E012,10,0
7,P10007,2025-11-01 06:01:48,inbound,S08,E010,7,0
8,P10008,2025-11-01 06:02:24,inbound,S01,E014,10,0
9,P10009,2025-11-01 06:09:43,sort,S07,E017,7,0
10,P10010,2025-11-01 06:02:44,scan,S01,E013,14,0
11,P10011,2025-11-01 06:12:55,inbound,S06,E007,9,0
12,P10012,2025-11-01 06:02:45,dispatch,S10,E007,10,0
13,P10013,2025-11-01 06:16:32,scan,S04,E004,14,0
14,P10014,2025-11-01 06:02:19,sort,S01,E010,9,0
15,P10015,2025-11-01 06:23:58,scan,S01,E019,14,0
16,P10016,2025-11-01 06:00:12,sort,S07,E006,17,0
17,P10017,2025-11-01 06:15:18,sort,S05,E007,8,0
18,P10018,2025-11-01 06:05:40,sort,S02,E005,5,0
19,P10019,2025-11-01 06:05:51,scan,S03,E010,13,0
20,P10020,2025-11-01 06:21:51,inbound,S04,E006,7,0
21,P10021,2025-11-01 06:32:16,scan,S01,E011,14,0
22,P10022,2025-11-01 06:14:50,sort,S04,E004,8,0
23,P10023,2025-11-01 06:24:45,sort,S10,E014,8,0
24,P10024,2025-11-01 06:23:55,scan,S06,E015,13,0
25,P10025,2025-11-01 06:04:05,scan,S01,E019,7,0
26,P10026,2025-11-01 06:16:06,inbound,S05,E007,5,0
27,P10027,2025-11-01 06:12:04,scan,S02,E003,10,0
28,P10028,2025-11-01 06:51:53,inbound,S09,E006,4,0
29,P10029,2025-11-01 06:00:18,inbound,S04,E005,4,0
30,P10030,2025-11-01 06:14:24,scan,S06,E014,15,0
31,P10031,2025-11-01 06:22:18,sort,S05,E009,8,0
32,P10032,2025-11-01 06:33:44,scan,S09,E006,7,0
33,P10033,2025-11-01 06:07:13,scan,S05,E013,9,0
34,P10034,2025-11-01 06:03:36,inbound,S02,E014,15,0
35,P10035,2025-11-01 06:14:49,scan,S04,E006,11,0
36,P10036,2025-11-01 06:16:17,scan,S02,E015,10,0
37,P10037,2025-11-01 06:23:57,sort,S03,E002,3,0
38,P10038,2025-11-01 06:10:59,inbound,S02,E002,8,0
39,P10039,2025-11-01 06:12:35,scan,S05,E001,20,0
40,P10040,2025-11-01 06:07:59,sort,S08,E017,7,0
41,P10041,2025-11-01 06:30:59,scan,S10,E020,13,0
42,P10042,2025-11-01 06:42:44,sort,S06,E007,11,0
43,P10043,2025-11-01 06:42:34,scan,S01,E005,3,0
44,P10044,2025-11-01 06:07:50,scan,S09,E007,14,0
45,P10045,2025-11-01 06:16:36,scan,S05,E017,10,0
46,P10046,2025-11-01 06:12:11,sort,S02,E017,3,0
47,P10047,2025-11-01 06:19:29,scan,S08,E020,9,0
48,P10048,2025-11-01 06:03:31,dispatch,S05,E020,18,0
49,P10049,2025-11-01 07:02:34,inbound,S01,E007,10,0
50,P10050,2025-11-01 06:37:54,sort,S06,E011,20,0
51,P10051,2025-11-01 06:14:26,scan,S06,E008,10,0
52,P10052,2025-11-01 06:01:51,scan,S04,E014,3,0
53,P10053,2025-11-01 06:08:47,dispatch,S03,E002,11,0
54,P10054,2025-11-01 06:05:51,scan,S02,E007,14,0
55,P10055,2025-11-01 06:40:02,scan,S10,E020,17,0
